,id,date,user_id,username,name,tweet,replies_count,retweets_count,likes_count
18,1488811177928921089,2022-02-02,1162694149956603904,thebridge_tech,The Bridge,"Cada vez se habla más de las ""soft skills"" y de lo importante que son para aplicar a posiciones tecnológicas ¡Descubre cuáles son en nuestro evento ""Soft Skills en tiempos de robots""! Saca tu entrada 👇  https://t.co/PfcDscwDtP",0,0,0
19,1489181416818724864,2022-02-03,1162694149956603904,thebridge_tech,The Bridge,¡Nos visita @DecathlonES ! Si te interesa la ciencia de datos y cómo se aplica a proyectos reales ¡Apúntate al evento! 👇 El 8 de febrero a las 17.30h 😉 #datascience #bestpractice #freeevent  https://t.co/pXyFXll3fa,0,1,3
20,1489249806249644040,2022-02-03,720372640192405504,zoomtecnochile,Zoom Tecnologico,Automatización y el Covid-19 en el horizonte del nuevo trabajador  https://t.co/aA3d4D199h #TalentoProfesional #TheBridge #Automatizacion @thebridge_tech,0,0,1
21,1490430578633674756,2022-02-06,124512688,antoniolopezg,Antonio López,Muchas ganas de hablar este martes con alumnos de @TheBridge_Tech acerca de como hacemos #DataScience #MachineLearning en Decathlon  https://t.co/asAw5W6uht  https://t.co/4HOtEnbx7P,0,0,1
22,1490973768667512835,2022-02-08,589903453,funiversia,Fundación Universia,Aún puedes solicitar una de las becas que otorgamos junto a @IndraCompany para la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 💻  Son 10 #becas dirigidas a personas con #discapacidad con formaciones #STEM 📲  https://t.co/ubL3GyycUt  https://t.co/KAzkvXPFkY,0,0,3
23,1490999359579643909,2022-02-08,1402182570314539009,thefringelabs,TheFringe/LABS,¡Feliz martes porque podemos anunciar que los Proptech Thursdays aterrizan en Madrid el 3 de marzo! 🎉Hemos creado estos eventos mensuales con la colaboración de @apicatalunya  y @TheBridge_Tech  y podéis reservar vuestras entradas en este enlace:  https://t.co/cHFFfDUA9Z,1,0,2
24,1491801710729195524,2022-02-10,1162694149956603904,thebridge_tech,The Bridge,"Sevilla está llena de talentos digitales por descubrir ¿te animas a conocer las profesiones del futuro?🧑‍💻Ven al taller y conoce de la mano de @pagepersonnel los perfiles más demandados ¡Saca tus entradas!👉 2 de marzo, 19h.  https://t.co/5UMpplARdX",1,1,1
25,1492085613713141760,2022-02-11,1162694149956603904,thebridge_tech,The Bridge,"Hoy se celebra VLC Tech Women con motivo del #DiaDeLaMujeryLaNiñaEnLaCiencia, un evento en el que se hablará de inteligencia artificial, datos y el futuro de la mujer en la tecnología @AcmUpv @AcmWUpv  https://t.co/OhDBKHnsQQ ¡Promete ser muy interesante!👩‍💻",0,1,0
26,1492557029046632448,2022-02-12,1488306026025783301,soyuxpuntocom,Miriam Sanchez,@uxbs_podcast El bootcamp de @TheBridge_Tech,0,1,4
27,1492946377290178564,2022-02-13,1319221643634495489,aibot_cdh,AI_Bot,@peritecno @jcgalindo_ @Women4Cyber_SP @TheBridge_Tech @bbva @sanitas @unicc_ict @EduvigisOrtiz @tima_soni Qué pena no poder asistir de manera presencial y poder conocer al resto de mentores y mentees,0,0,2
28,1493639257587601413,2022-02-15,1319233294198857728,women4cyber_sp,Women4Cyber_Spain,Presentando nuestra 2ª edición del Programa de Mentoring de forma presencial en @TheBridge_Tech. Encantadas con la asistencia y el apoyo de nuestros mentores y mentees 🙂🙂 Muchas gracias!! #womenincyber #W4C  https://t.co/JcPYHB5Aze,0,1,8
29,1494627201794428930,2022-02-18,73355170,indracompany,Indra,¿Aún no has solicitado tu beca para el #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech? Si tienes #discapacidad y una formación universitaria #STEM puedes recibir una de las 10 becas de @IndraCompany y @FUniversia 📲¡Inscríbete ya!  https://t.co/wYjp06QE9c  https://t.co/bLDY1DVOKa,0,5,8
30,1495055146769915908,2022-02-19,295720842,soyelsimo,Pep Iberico,Yo he caído en el bootcamp de Data science de @TheBridge_Tech en madrid. Si valor agregado consiste en presionarte para que aprendas por tu cuenta. Si no aprendes es tú culpa porque su método es muy sólido. Aunque se queje el 50% de la clase.,0,1,0
31,1495710690950193155,2022-02-21,1162694149956603904,thebridge_tech,The Bridge,"¡Nuevos eventos para febrero y marzo! Talleres sobre #IA, #marketingdigital #empleabilidad, #ciber, #datascience ¡No te los pierdas e inscríbete! ⬇️  https://t.co/bSsTjrDH8l  https://t.co/4b1jxJmMLO",0,0,0
32,1496021941483802630,2022-02-22,589903453,funiversia,Fundación Universia,📢¡Última semana! Aún puedes solicitar una de las becas que otorgamos junto a @IndraCompany para la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 💻  💻10 #becas dirigidas a personas con #discapacidad con formaciones #STEM 📲  https://t.co/ubL3Gyg3Gl  https://t.co/yHUvz4zCXG,0,1,6
33,1496140777529004033,2022-02-22,1162694149956603904,thebridge_tech,The Bridge,"Si veis estos carteles por Sevilla, SÍ, SOMOS NOSOTROS! Aterrizamos en marzo con los #bootcamps en #DataScience y #DesarrolloWebFullStack ¡Pide información sin compromiso! En colaboración con @ENCamaraSevilla y @camaradesevilla 👍  https://t.co/V8mmlFAlEc  https://t.co/JUOBlK4F7V",0,2,2
34,1496865773582696449,2022-02-24,198936952,michaelpage_es,Michael Page España,"Hace unos días, nuestras compañeras Inés Bdiri y Alba Calvo estuvieron en la Aceleradora de Talento digital @TheBridge_Tech para contar a sus alumnos las ""best practices"" en la búsqueda de empleo y ¡fue un éxito! 👏  ¡Gracias a todos los asistentes!🙌  https://t.co/JLvRI7z6Ti",0,0,0
35,1497118969236377601,2022-02-25,1162694149956603904,thebridge_tech,The Bridge,¡Gracias a vosotros! Los alumnos se llevaron grandes consejos y una visión del mercado laboral en profesiones #tech desde la perspectiva de #seleccion y #recruitment 🤩 @PagePersonnelES @michaelpage_es,0,0,1
36,1497165125752664112,2022-02-25,1162694149956603904,thebridge_tech,The Bridge,"¡#Datascientist mirad esto! ⚽🏃 Cómo @LaLiga utiliza el dato y la inteligencia artificial (IA) para predecir cuáles son las mejores fechas para celebrar partidos, monitorizar la venta de entradas... ¡Interesante conocer su filial @LaLigaTech!  https://t.co/HrEwHLEivh #datascience",0,0,1
37,1497198545333624832,2022-02-25,763323065199628288,insidezeusdata,Zeus,Nuestro PMO @vicencf da una clase a los alumnos de @TheBridge_Tech  en nuestras instalaciones 🚀  #bigdata #data #education  https://t.co/jiskmovU0m,0,1,4
38,1498212250481483778,2022-02-28,1162694149956603904,thebridge_tech,The Bridge,Gracias @insidezeusdata y @vicencf por la jornada formativa ¡Fue toda una experiencia para nuestros alumnos de #Valencia! 🤗,0,0,2
39,1498249085337444355,2022-02-28,91372157,mynews_es,MyNews,"Toma contacto con el #marketingdigital de la mano de @TheBridge_Tech. Aprende a usar el contenido, el email, las redes sociales y la publicidad digital en este taller impartido por @jpereznavarrete📝  📅Jueves 3 de marzo, 18-19h (online)  #EventoDeLaSemana  #masterclass #MyNews",1,0,2
40,1499088433293185033,2022-03-02,414032513,pickyuan,PICKY,"@TheBridge_Tech @PagePersonnel Mi hijo y yo nos apuntamos con muchos días de antelación Hoy a las 7 nos conectamos y aparece el mensaje ""Enlace caducado"": no nos hemos podido conectar Es una pena que, además de tener que recurrir a lo on-line, con la frialdad que supone, ocurran estos fallos técnicos Muy mal",2,0,0
41,1498939760462630913,2022-03-02,1162694149956603904,thebridge_tech,The Bridge,"¡Empezamos el 21 de marzo en #Sevilla! No te puedes perder este taller de empleabilidad con el que arrancamos 🚀 Entradas:  https://t.co/91M74qEah2 📅Hoy a las 19h 📍C/Isabela 1, Sevilla @ENCamaraSevilla  https://t.co/euWktCKqYp",0,0,1
42,1499395478563155968,2022-03-03,1162694149956603904,thebridge_tech,The Bridge,"@PICKYUAN @PagePersonnel Sentimos mucho el fallo técnico. Revisaremos que pudo pasar, pueden conectarse a próximos eventos o contactarnos si quieren más información sobre la escuela llamar al 919 01 72 57 ¡Gracias!",0,0,1
43,1499397820410851332,2022-03-03,742380996688023552,poder_liderazgo,@Poderyliderazgo.cl,[Opinión] Por más mujeres líderes en tecnología -  https://t.co/FqVeFL1ljq @TheBridge_Tech  https://t.co/TE5sXsBaAT,0,0,0
44,1499397980704546831,2022-03-03,742380996688023552,poder_liderazgo,@Poderyliderazgo.cl,[Opinión] Por más mujeres líderes en tecnología  https://t.co/FqVeFL1ljq  https://t.co/SFOFIEv1Uo @TheBridge_Tech  https://t.co/kBo9xGdGrU,0,0,0
45,1500124541137428490,2022-03-05,363153431,pablooliete,Pablo Oliete,Día para agradecer a @TheBridge_Tech y @Glovo_ES la oportunidad que han dado a estos dos cracks para formarse con @codeorg en programación por bloques en un curso de 48 horas de duración. Bravo 🙌  🔝🦸🏻‍♂️🦸🏻‍♀️🏭🇪🇸  https://t.co/ZTCrroHQTc,0,0,13
46,1501530641610989581,2022-03-09,1162694149956603904,thebridge_tech,The Bridge,¡El #bootcamp de #Ciberseguridad de @TheBridge_Tech vuelve a estar entre los mejores bootcamps del mundo! Y este año también nos estrenamos con el de #DigitalMarketingOps que entra por primera vez en la lista de #CourseReport! Una súper noticia👏👏¡Gracias a todos! #bestbootcamps  https://t.co/3xShvybDST,1,2,2
47,1501543878692073472,2022-03-09,1162694149956603904,thebridge_tech,The Bridge,Faltan por salir las listas de #UXUIProductDesign #DataScience y #DesarrolloWebFullStack ¡Sería estupendo volver a aparecer!,1,0,2
48,1502195577584500740,2022-03-11,1162694149956603904,thebridge_tech,The Bridge,¿Algún identificado en la sala? 😂  #desarrolloweb #css #fullstackdeveloper,0,0,0
49,1502360507365400587,2022-03-11,1162694149956603904,thebridge_tech,The Bridge,"👾La #ciberseguridad, más necesaria que nunca.  El #sectortecnológico pide más financiación y formación de profesionales para evitar ataques a sectores claves para la economía como energía, finanzas y transporte 🔒  https://t.co/OxY8JpRavS",0,0,0
50,1503409219789328384,2022-03-14,1162694149956603904,thebridge_tech,The Bridge,¡Muy contentos por todos ellos! 100% empleabilidad en la promoción de junio. Gracias desde @TheBridge_Tech por confiar y ponerlo todo tan fácil ¡Felicidades! #fullstackdevelopers #datascientists #digitalmarketers #uxuidesigners #cybersecurityanalysts 🎯💼  https://t.co/R0eGi9QXv5,0,1,3
51,1503513313648463877,2022-03-15,295720842,soyelsimo,Pep Iberico,@PICKYUAN @TheBridge_Tech @PagePersonnel Yo por experiencia te diría que busques otra escuela. Cuando las cosas funcionan bien todo muy bonito ahora cuando no… no hacen nada y te dicen que esto es lo que hay 😅🤦‍♂️,0,0,0
52,1503808574987935757,2022-03-15,1941897590,coursereport,Course Report,"🔐 We've combed through student &amp; alumni reviews to find the 17 Best Cyber Security Bootcamps of 2022, including @Level_Effect, @nexgent, @simplilearn, @Springboard, and @TheBridge_Tech!   https://t.co/t9VCetS80T  https://t.co/uhS3m8KSBT",0,2,3
53,1504380116792664064,2022-03-17,209496112,carlosguardiola,Carlos L. Guardiola,"En 2021, las instituciones que forman profesionales digitales con modelos de Bootcamp prepararon a más personas que el 94% de las universidades españolas @Adalab_Digital @TheBridge_Tech @ironhack  https://t.co/zyzeLrNdLo",1,0,5
54,1504416870526590977,2022-03-17,1162694149956603904,thebridge_tech,The Bridge,"Más de 300.000 expertos en #ciberseguridad se han unido en una especie de ""ejército IT"" en Ucrania para llevar a cabo ataques informáticos contra infraestructuras y empresas rusas 👾🔓 https://t.co/CERWGVqWQw",0,0,0
55,1504525515247472649,2022-03-17,1941897590,coursereport,Course Report,"🎉 Congrats to @simplilearn, @TheBridge_Tech, @thinkful, and @udacity who made it on our list of the 14 Best Digital Marketing Bootcamps of 2022!  https://t.co/tgUf4qX2DX  https://t.co/MIhFTrM9lA",0,0,0
56,1504734193401618459,2022-03-18,1162694149956603904,thebridge_tech,The Bridge,"¡Comenzamos el #Desafiodetripulaciones ⚔ de la promo full time de noviembre! El tema de los proyectos: el #coliving, con la colaboración de @TheFringeLABS  ¡No te pierdas las web apps que han creado! 🔴EN DIRECTO  https://t.co/PepMdUmCMu",0,4,5
57,1506941441574117378,2022-03-24,1162694149956603904,thebridge_tech,The Bridge,"¿Crees que lo sabes todo?🤓¡Déjate sorprender! Adéntrate en el mundo de la #ProgramacionWeb y las criptomonedas, conoce la metolodogía #Scrum o profundiza en el #deeplearning. Apúntate a nuestros talleres gratuitos y amplía horizontes 👉 https://t.co/bYfstQB02R  https://t.co/O1Y4J6puMR",0,0,0
58,1507029045187387401,2022-03-24,1162694149956603904,thebridge_tech,The Bridge,Hoy han venido a visitarnos los alumnos de @itep_es de #DAM #ASIR y #MARKETING para conocer nuestro campus de Madrid y el futuro de profesiones tecnológicas como las suyas ¡Esperamos que hayais pasado una estupenda jornada! Sois los profesionales #techie del mañana 👩‍💻🧑‍💻  https://t.co/U1gPnU7TgI,0,0,1
59,1507059034146361344,2022-03-24,163586106,encamarasevilla,Escuela de Negocios,"La @camaradesevilla organiza junto al Grupo Planeta y su presidente José Lara, este encuentro con las empresas #ClubCámara para recoger las necesidades del #SectorTecnológico y presentar nuestra oferta de #Bootcamps de la mano de @TheBridge_Tech  https://t.co/rJkWd5MKT8  https://t.co/J6SHTHXylM",0,4,7
60,1507711509467734019,2022-03-26,41545659,nodosenlared,Mario Lopez de Avila,"Jaime, estoy seguro de que en @TheBridge_Tech , la aceleradora de talento digital líder en nuestro país, estarían encantados de ayudarte en la organización de ese Hackhaton. Al menos yo lo estoy 😉",0,2,6
61,1508843117000249345,2022-03-29,1197839987867373568,vocentoeventos,vocentoEventos,2⃣ FORMACIÓN PARA EL FUTURO Y LAS NUEVAS PROFESIONES QUE VIENEN ▪️ @JuanJoseJuarez (@FBertelsmann) ▪️ @mortizcotro (@FundCreate) ▪️ Iker Arce (@TheBridge_Tech) ▪️ Gabriel Masfurroll (@UABBarcelona) Modera: Antonio San José (@asanjoseperez) (@KreabEspana)  #ForoVocentoEducación  https://t.co/kMY2q5gEZE,1,1,3
62,1509126320386715655,2022-03-30,1402182570314539009,thefringelabs,TheFringe/LABS,Hemos colaborado con @TheBridge_Tech aportando el proyecto final de los alumnos para el Desafío de Tripulaciones y premiando a los 3 grupos con una donación para la ONG de su elección. Increíbles resultados en tiempo récord🤩 #apoyamoseltalentotech  https://t.co/vJ5HdV6gSN  https://t.co/LpSUpFtdfp,0,1,4
63,1509108619782111235,2022-03-30,1162694149956603904,thebridge_tech,The Bridge,¡Llegó el día! Hoy es el #DesafiodeTripulaciones ⚔ en el campus de #Valencia ¡Mucha suerte a toda esa primera promoción valenciana presentando sus súper webapps! No te lo pierdas ▶ Sigue ya el DIRECTO aquí  https://t.co/lLXz2wKxaX  #datascience #fullstackwebdevelopment #bootcamp,0,2,1
64,1509101924699803650,2022-03-30,1197839987867373568,vocentoeventos,vocentoEventos,Seguimos con la 2mesa #ForoVocentoEducación: Formación para el futuro y las nuevas profesionales que vienen. Participan: ▪️ @JuanJoseJuarez @FBertelsmann ▪️ @mortizcotro @FundCreate ▪️ Iker Arce @TheBridge_Tech ▪️ Gabriel Masfurroll @UABBarcelona 🔴DIRECTO  https://t.co/8xxFlqVpCP  https://t.co/3qAkFVQ9bs,0,2,8
